tiempo,a_x,a_y,a_z,a_mod
7.049999999999999600e-01,-9.184513519605853882e-02,1.416896213347110245e-01,9.798545150849669483e+00,9.799999926065956046e+00
7.249999999999999778e-01,-9.184513972465292719e-02,1.416896269650636808e-01,9.798545151662901631e+00,9.799999927002913225e+00
7.700000000000000178e-01,-9.184514014474581822e-02,1.416896313158110265e-01,9.798545156063132922e+00,9.799999931469331571e+00
7.950000000000000400e-01,-9.184514720679445854e-02,1.416896380111622722e-01,9.798545154994311446e+00,9.799999930563656036e+00
8.249999999999999556e-01,-9.184513118415288391e-02,1.416896348035722175e-01,9.798545170955792472e+00,9.799999946326227729e+00
8.599999999999999867e-01,-9.184513892856295547e-02,1.416896412917213743e-01,9.798545168814825956e+00,9.799999944351966974e+00
8.900000000000000133e-01,-9.184513560553853040e-02,1.416896427348522947e-01,9.798545174490769227e+00,9.799999950016788475e+00
9.250000000000000444e-01,-9.184513860411003261e-02,1.416896469265637726e-01,9.798545175553314834e+00,9.799999951167883694e+00
9.599999999999999645e-01,-9.184513430162583036e-02,1.416896480394366775e-01,9.798545182048396640e+00,9.799999957637769654e+00
9.899999999999999911e-01,-9.184514307643075470e-02,1.416896537456769078e-01,9.798545177772705728e+00,9.799999953527452234e+00
1.024999999999999911e+00,-9.184514614761447870e-02,1.416896574193893255e-01,9.798545178149504764e+00,9.799999953986091583e+00
1.054999999999999938e+00,-9.184513005262803786e-02,1.416896530825325629e-01,9.798545192858059139e+00,9.799999968478919854e+00
1.090000000000000080e+00,-9.184513794340100346e-02,1.416896583516971675e-01,9.798545189151466772e+00,9.799999964923010509e+00
1.125000000000000000e+00,-9.184513297958560307e-02,1.416896584244367874e-01,9.798545195269221963e+00,9.799999970994388576e+00
1.155000000000000027e+00,-9.184513287047108010e-02,1.416896600100103487e-01,9.798545197162843223e+00,9.799999972909631651e+00
1.189999999999999947e+00,-9.184514145426617149e-02,1.416896651509124694e-01,9.798545192473303800e+00,9.799999968375562531e+00
1.219999999999999973e+00,-9.184513362063480291e-02,1.416896635167733953e-01,9.798545200139296085e+00,9.799999975943373798e+00
1.254999999999999893e+00,-9.184513736930544070e-02,1.416896665460964100e-01,9.798545198962091973e+00,9.799999974845274409e+00
1.290000000000000036e+00,-9.184513243920343351e-02,1.416896660812070052e-01,9.798545204398777742e+00,9.799999980228227159e+00
1.320000000000000062e+00,-9.184513332657609497e-02,1.416896676029840707e-01,9.798545205002506364e+00,9.799999980862185822e+00
1.354999999999999982e+00,-9.184514123002159025e-02,1.416896719716431718e-01,9.798545200276132405e+00,9.799999976273745972e+00
1.385000000000000009e+00,-9.184512897076567428e-02,1.416896682240872118e-01,9.798545210924510585e+00,9.799999986751467773e+00
1.419999999999999929e+00,-9.184513627889948073e-02,1.416896722048902046e-01,9.798545206487455417e+00,9.799999982441118362e+00
1.455000000000000071e+00,-9.184513266512744911e-02,1.416896718528610211e-01,9.798545210443377229e+00,9.799999986357494919e+00
